News Source,Bias,Reporting,References
Maine Beacon,Left-Center,High,2948
MediaFile,Left-Center,High,5225
Metro UK,Left-Center,High,5465053
Metro,Left-Center,High,571625
Miami Herald,Left-Center,High,3460027
Mic,Left-Center,High,199547
Migration Policy Institute,Left-Center,High,79346
Milwaukee Journal-Sentinel,Left-Center,High,382971
Minneapolis Star Tribune,Left-Center,High,1511463
Minnesota Public Radio (MPR),Left-Center,High,325808
Mongabay,Left-Center,High,154367
Monthly Review,Left-Center,High,350420
Montreal Gazette,Left-Center,High,742114
Morning Consult,Left-Center,High,48157
Moscow Times,Left-Center,High,585137
Mother Nature Network,Left-Center,High,552432
MWC News   Media With Conscience,Left-Center,High,425090
Naked Capitalism,Left-Center,High,1689205
National Center for Transgender Equality (NCTE),Left-Center,High,23637
National Newswatch,Left-Center,High,71456
National Observer (Canada),Left-Center,High,24211
National Youth Rights Association,Left-Center,High,10761
Natural Resource Governance Institute,Left-Center,High,266814
Natural Resources Defense Council,Left-Center,High,482219
NC Policy Watch,Left-Center,High,85909
Need 2 Know,Left-Center,High,5397
New England Cable News (NECN),Left-Center,High,134945
New Europe,Left-Center,High,72874
New Left Review,Left-Center,High,439342
New Matilda,Left-Center,High,251042
New Moderate,Left-Center,High,23567
News and Guts,Left-Center,High,1044
News Channel 4 (KFOR.com),Left-Center,High,197705
News.com.au,Left-Center,High,14350902
Newsday,Left-Center,High,2111593
Newser,Left-Center,High,612289
NewsOne,Left-Center,High,198224
Newsy,Left-Center,High,377110
Oil and Water Don t Mix,Left-Center,High,957
openDemocracy,Left-Center,High,559932
Opposing Views,Left-Center,High,1227644
Outside The Beltway,Left-Center,High,1254210
Ozy Media,Left-Center,High,406209
PanAm Post,Left-Center,High,34250
Patriotic Millionaires,Left-Center,High,19718
PBS News Hour,Left-Center,High,8983384
Philadelphia Inquirer,Left-Center,High,5498197
Philippine Daily Inquirer,Left-Center,High,222116
Politics That Work,Left-Center,High,3723
Population Connection,Left-Center,High,34978
Portland Press-Herald,Left-Center,High,453489
Public Citizen,Left-Center,High,209136
Quartz,Left-Center,High,487533
Radio Free Asia,Left-Center,High,435638
Raleigh News and Observer,Left-Center,High,1432349
RationalWiki,Left-Center,High,13377
Real News Network,Left-Center,High,537254
Religion News Service (RNS),Left-Center,High,231073
Reveal   Center for Investigative Reporting,Left-Center,High,152890
Right Web,Left-Center,High,36967
Rolling Stone,Left-Center,High,2652584
Roosevelt Institute,Left-Center,High,32803
Rudaw,Left-Center,High,14335
Sacramento Bee,Left-Center,High,1812488
Salt Lake Tribune,Left-Center,High,781832
San Francisco Chronicle,Left-Center,High,1357335
San Jose Mercury News,Left-Center,High,1550090
Santa Barbara Independent,Left-Center,High,165327
Seattle Post-Intelligencer,Left-Center,High,230799
Seattle Times,Left-Center,High,1707365
Sentencing Project,Left-Center,High,104758
SFGate,Left-Center,High,3401015
Shame Project,Left-Center,High,2805
Sky News,Left-Center,High,3664372
Sojourners (Soho),Left-Center,High,355711
SooToday.com,Left-Center,High,317622
Southern Poverty Law Center,Left-Center,High,1607605
Special Broadcasting Service (SBS),Left-Center,High,1001884
Spiegel Online,Left-Center,High,8560806
Star-Ledger,Left-Center,High,7961534
Staten Island Advance,Left-Center,High,2629802
StopFake,Left-Center,High,83199
Tampa Bay Times,Left-Center,High,1274355
Tax Policy Center,Left-Center,High,1291187
TechCrunch,Left-Center,High,3298282
The Age (Australia),Left-Center,High,6663533
The Automatic Earth,Left-Center,High,395286
The Baffler,Left-Center,High,88477
The Center on Budget and Policy Priorities,Left-Center,High,287537
The Century Foundation,Left-Center,High,45489
The Chicago Reporter,Left-Center,High,2266
The Christian Left,Left-Center,High,18113
The Courier-Journal,Left-Center,High,1038667
The Daily Climate,Left-Center,High,75754
The Daily Tarheel,Left-Center,High,158089
The Economic Times,Left-Center,High,4226728
The Forward,Left-Center,High,341664
The Hindu,Left-Center,High,6
(The) Interpreter Magazine,Left-Center,High,72153
The Irish Times,Left-Center,High,1963074
The Irrawaddy,Left-Center,High,217235
The Journal News,Left-Center,High,957408
The Local (Norway),Left-Center,High,921378
The Monthly (Australia),Left-Center,High,73576
The Nation Institute,Left-Center,High,76636
The New Arab,Left-Center,High,406570
The News Tribune,Left-Center,High,620446
The Oslo Times,Left-Center,High,130814
The Patriot-News,Left-Center,High,2507827
The Plain Dealer,Left-Center,High,6358632
The Providence Journal,Left-Center,High,1649506
The Pulse,Left-Center,High,101
The Record (New Jersey),Left-Center,High,204728
The Saturday Paper,Left-Center,High,294581
The Stranger,Left-Center,High,3744866
The Sun Magazine,Left-Center,High,31505
The Sydney Morning Herald,Left-Center,High,8428105
The Tab,Left-Center,High,25810
The Times-Picayune,Left-Center,High,2015475
The Trace,Left-Center,High,10802
The Tyee,Left-Center,High,207173
The Varsity,Left-Center,High,27687
The Verge,Left-Center,High,1771117
The Virginian-Pilot,Left-Center,High,209021
The Week,Left-Center,High,1637679
The Wilderness Society,Left-Center,High,720891
The Wire   India,Left-Center,High,218050
The Zero Hour,Left-Center,High,3512
Thomson Reuters Foundation,Left-Center,High,486825
Times of Israel,Left-Center,High,901276
To Inform is to Influence,Left-Center,High,4968
Unicorn Riot,Left-Center,High,15406
United Federation of Teachers (UFT),Left-Center,High,218363
University Business,Left-Center,High,54779
Urban Institute,Left-Center,High,727611
US News World Report,Left-Center,High,1220471
VoteVets.org,Left-Center,High,76668
Vulture,Left-Center,High,7038793
Wall Street on Parade,Left-Center,High,185677
WGN News,Left-Center,High,233852
Windsor Star,Left-Center,High,376673
WNYC,Left-Center,High,513137
World Affairs Journal,Left-Center,High,2215017
World Policy Institute,Left-Center,High,42659
YnetNews,Left-Center,High,235259
York Daily Record,Left-Center,High,83630
BackChannel,Left-Center,Very High,4432
BillMoyers.com,Left-Center,Very High,226341
Brookings Institute,Left-Center,Very High,916884
Center for International Policy,Left-Center,Very High,238489
Clean Technica,Left-Center,Very High,206027
Journal of Politics and Society,Left-Center,Very High,655
Memeorandum,Least,Mixed,2913297
NewsNow (UK),Least,Mixed,1921522
OneEighty,Least,Mixed,1934
Patheos,Least,Mixed,825538
Spectrum Report,Least,Mixed,51448
TheWrap,Least,Mixed,861973
Viral Thread,Least,Mixed,61326
ABC News Australia,Least,High,5161666
Africa News,Least,High,1052627
Agerpres,Least,High,2482230
Airwars,Least,High,26983
Al Arabiya,Least,High,1164174
Al Bawaba,Least,High,705193
Al Majalla,Least,High,1316
Alabama Today,Least,High,1172
Albuquerque Journal,Least,High,351450
AllGov,Least,Very High,170809
Alliance for Securing Democracy,Least,High,1688
American Heritage,Least,High,113136
Amnesty International,Least,High,2165942
Asharq Al-Awsat,Least,High,33937
Atlantic Council,Least,High,208343
Ballotpedia,Least,Very High,47397
Bbarta24,Least,High,208271
BDNews24,Least,High,1230994
Bellingcat,Least,High,89697
Big Think,Least,Very High,443218
BNO News,Least,High,856
Bridge Magazine,Least,High,24027
Bulletin of the Atomic Scientists,Least,Very High,157904
Bullshido,Least,High,592931
Business 2 Community,Least,High,28655
C-Span,Least,Very High,5131998
Capitol Fax,Least,High,175727
